Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	12.837 
0.050000 	0.00037223 	13.513 
0.066667 	0.0010236 	13.513 
0.083333 	0.0018612 	13.513 
0.10000 	0.0028848 	12.837 
0.11667 	0.0040015 	13.513 
0.13333 	0.0053043 	13.513 
0.15000 	0.0066071 	14.188 
0.16667 	0.0080030 	14.188 
0.18333 	0.0093989 	13.513 
0.20000 	0.010888 	14.188 
0.21667 	0.012470 	14.188 
0.23333 	0.014052 	14.188 
0.25000 	0.015541 	14.188 
0.26667 	0.017123 	14.188 
0.28333 	0.018798 	14.864 
0.30000 	0.020380 	14.864 
0.31667 	0.022055 	14.864 
0.33333 	0.023637 	14.864 
0.35000 	0.025312 	14.864 
0.36667 	0.026894 	14.864 
0.38333 	0.028662 	15.539 
0.40000 	0.030244 	14.864 
0.41667 	0.031919 	15.539 
0.43333 	0.033594 	14.864 
0.45000 	0.035176 	14.864 
0.46667 	0.036851 	15.539 
0.48333 	0.038526 	15.539 
0.50000 	0.040201 	15.539 
0.51667 	0.041783 	15.539 
0.53333 	0.043551 	15.539 
0.55000 	0.045226 	15.539 
0.56667 	0.046808 	15.539 
0.58333 	0.048483 	15.539 
0.60000 	0.050158 	15.539 
0.61667 	0.051833 	15.539 
0.63333 	0.053508 	15.539 
0.65000 	0.055183 	16.215 
0.66667 	0.056858 	16.215 
0.68333 	0.058533 	15.539 
0.70000 	0.060209 	15.539 
0.71667 	0.061791 	16.215 
0.73333 	0.063466 	16.215 
0.75000 	0.065234 	16.215 
0.76667 	0.066816 	16.215 
0.78333 	0.068491 	16.215 
0.80000 	0.070259 	16.215 
0.81667 	0.071841 	16.215 
0.83333 	0.073516 	16.215 
0.85000 	0.075191 	16.891 
0.86667 	0.076866 	16.215 
0.88333 	0.078541 	16.891 
0.90000 	0.080216 	16.891 
0.91667 	0.081891 	16.215 
0.93333 	0.083473 	16.891 
0.95000 	0.085148 	16.891 
0.96667 	0.086823 	16.891 
