Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	12.837 
0.050000 	0.00037223 	12.161 
0.066667 	0.0010236 	12.161 
0.083333 	0.0019542 	12.837 
0.10000 	0.0029779 	12.161 
0.11667 	0.0040946 	12.837 
0.13333 	0.0053043 	12.837 
0.15000 	0.0066071 	12.837 
0.16667 	0.0080960 	12.837 
0.18333 	0.0094919 	12.837 
0.20000 	0.010981 	12.837 
0.21667 	0.012470 	12.837 
0.23333 	0.014052 	12.837 
0.25000 	0.015634 	12.837 
0.26667 	0.017216 	12.837 
0.28333 	0.018891 	12.837 
0.30000 	0.020473 	12.837 
0.31667 	0.022055 	12.837 
0.33333 	0.023730 	12.837 
0.35000 	0.025312 	13.513 
0.36667 	0.026987 	12.837 
0.38333 	0.028662 	13.513 
0.40000 	0.030244 	12.837 
0.41667 	0.031919 	13.513 
0.43333 	0.033594 	13.513 
0.45000 	0.035269 	13.513 
0.46667 	0.036944 	14.188 
0.48333 	0.038619 	13.513 
0.50000 	0.040294 	13.513 
0.51667 	0.041969 	13.513 
0.53333 	0.043644 	14.188 
0.55000 	0.045319 	14.188 
0.56667 	0.046901 	14.188 
0.58333 	0.048576 	14.188 
0.60000 	0.050251 	14.188 
0.61667 	0.051926 	14.188 
0.63333 	0.053601 	14.188 
0.65000 	0.055276 	14.188 
0.66667 	0.056951 	14.188 
0.68333 	0.058533 	14.188 
0.70000 	0.060302 	14.188 
0.71667 	0.061884 	14.188 
0.73333 	0.063559 	14.864 
0.75000 	0.065234 	14.188 
0.76667 	0.066909 	14.864 
0.78333 	0.068584 	14.864 
0.80000 	0.070259 	14.864 
0.81667 	0.071934 	14.864 
0.83333 	0.073516 	14.864 
0.85000 	0.075191 	14.864 
0.86667 	0.076866 	14.864 
0.88333 	0.078541 	14.864 
0.90000 	0.080216 	14.864 
0.91667 	0.081891 	14.864 
0.93333 	0.083566 	15.539 
0.95000 	0.085241 	15.539 
0.96667 	0.086916 	15.539 
0.98333 	0.088591 	15.539 
1.0000 	0.090173 	15.539 
1.0167 	0.091941 	15.539 
1.0333 	0.093523 	15.539 
1.0500 	0.095198 	15.539 
1.0667 	0.096966 	15.539 
1.0833 	0.098548 	15.539 
1.1000 	0.10022 	15.539 
1.1167 	0.10199 	16.215 
1.1333 	0.10357 	15.539 
1.1500 	0.10525 	15.539 
1.1667 	0.10692 	15.539 
1.1833 	0.10860 	15.539 
1.2000 	0.11027 	16.215 
1.2167 	0.11195 	16.215 
1.2333 	0.11353 	16.215 
1.2500 	0.11521 	15.539 
