Tempo(s)	Deformação(mm)	Força(N)
20.433 	2.0335 	311.47 
20.533 	2.0436 	314.17 
20.650 	2.0552 	316.87 
20.750 	2.0652 	319.57 
20.850 	2.0752 	322.28 
20.933 	2.0836 	324.98 
21.050 	2.0952 	327.68 
21.150 	2.1053 	330.38 
21.233 	2.1135 	333.09 
21.333 	2.1236 	335.79 
21.433 	2.1335 	338.49 
21.533 	2.1435 	341.19 
21.633 	2.1535 	343.90 
21.733 	2.1635 	346.60 
21.833 	2.1736 	349.30 
21.933 	2.1835 	352.00 
22.033 	2.1936 	354.71 
22.133 	2.2035 	357.41 
22.217 	2.2119 	360.11 
22.317 	2.2219 	362.81 
22.417 	2.2319 	365.52 
22.517 	2.2419 	368.22 
22.600 	2.2502 	370.92 
22.700 	2.2602 	373.62 
22.800 	2.2702 	376.33 
22.900 	2.2802 	379.03 
22.983 	2.2886 	381.73 
23.083 	2.2985 	384.43 
23.167 	2.3069 	387.14 
23.283 	2.3185 	389.84 
23.367 	2.3269 	392.54 
23.450 	2.3352 	395.24 
23.550 	2.3452 	397.95 
23.650 	2.3552 	400.65 
23.750 	2.3652 	403.35 
23.833 	2.3736 	406.05 
23.933 	2.3836 	408.76 
24.017 	2.3919 	411.46 
24.117 	2.4018 	414.16 
24.200 	2.4102 	416.86 
24.300 	2.4203 	419.57 
24.383 	2.4286 	422.27 
24.483 	2.4386 	424.97 
24.567 	2.4469 	427.67 
24.650 	2.4552 	430.38 
24.733 	2.4635 	433.08 
24.833 	2.4736 	435.78 
24.933 	2.4835 	438.48 
25.033 	2.4935 	441.19 
25.117 	2.5019 	443.89 
25.217 	2.5119 	446.59 
25.300 	2.5202 	449.29 
25.383 	2.5286 	452.00 
25.483 	2.5385 	454.70 
25.567 	2.5469 	457.40 
25.667 	2.5569 	460.10 
25.767 	2.5669 	463.48 
25.867 	2.5769 	466.18 
25.967 	2.5868 	469.56 
26.083 	2.5986 	472.27 
26.167 	2.6068 	475.64 
26.267 	2.6169 	478.35 
26.367 	2.6268 	481.05 
26.450 	2.6352 	483.75 
26.550 	2.6452 	486.45 
26.650 	2.6552 	489.16 
26.733 	2.6635 	491.86 
26.817 	2.6719 	494.56 
26.917 	2.6818 	497.26 
27.017 	2.6919 	499.97 
27.100 	2.7002 	502.67 
27.183 	2.7085 	505.37 
27.283 	2.7186 	508.07 
27.367 	2.7269 	510.78 
27.467 	2.7368 	513.48 
27.550 	2.7453 	516.18 
27.650 	2.7553 	518.88 
27.783 	2.7686 	522.94 
27.933 	2.7836 	526.99 
28.067 	2.7969 	531.05 
28.200 	2.8102 	535.10 
28.333 	2.8236 	539.15 
28.483 	2.8385 	543.21 
28.617 	2.8519 	547.26 
28.750 	2.8652 	551.31 
28.883 	2.8786 	555.37 
29.050 	2.8952 	559.42 
29.183 	2.9085 	563.48 
29.317 	2.9218 	567.53 
29.467 	2.9369 	571.58 
29.600 	2.9502 	575.64 
29.750 	2.9652 	579.69 
29.883 	2.9785 	583.74 
30.033 	2.9936 	587.80 
30.167 	3.0069 	591.85 
30.317 	3.0219 	595.91 
30.450 	3.0352 	599.96 
30.600 	3.0503 	604.01 
30.733 	3.0636 	608.07 
30.883 	3.0785 	612.12 
31.033 	3.0935 	616.17 
31.183 	3.1085 	620.23 
31.333 	3.1236 	624.28 
31.467 	3.1369 	628.34 
31.633 	3.1535 	633.07 
31.783 	3.1685 	637.12 
31.933 	3.1836 	641.17 
32.083 	3.1985 	645.23 
32.233 	3.2135 	649.28 
32.400 	3.2302 	653.33 
32.533 	3.2435 	657.39 
32.700 	3.2602 	661.44 
32.850 	3.2752 	666.17 
33.033 	3.2935 	670.22 
33.183 	3.3086 	674.28 
33.333 	3.3236 	678.33 
33.500 	3.3402 	682.39 
33.650 	3.3552 	686.44 
33.800 	3.3703 	690.49 
33.967 	3.3868 	694.55 
34.183 	3.4085 	699.95 
34.400 	3.4302 	705.36 
34.600 	3.4502 	710.76 
34.817 	3.4719 	716.17 
35.033 	3.4936 	721.57 
35.250 	3.5152 	726.98 
35.483 	3.5385 	732.38 
35.700 	3.5602 	737.79 
35.933 	3.5836 	743.19 
36.167 	3.6069 	748.60 
36.400 	3.6302 	754.00 
36.633 	3.6536 	759.41 
36.883 	3.6786 	764.81 
37.133 	3.7035 	770.22 
37.383 	3.7286 	775.62 
37.650 	3.7552 	781.03 
37.917 	3.7819 	786.43 
38.217 	3.8118 	791.16 
38.500 	3.8402 	796.57 
38.800 	3.8703 	800.62 
39.067 	3.8969 	793.87 
39.083 	3.8986 	626.31 
39.100 	3.9002 	114.18 
