Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	16.891 
0.050000 	0.00037223 	16.891 
0.066667 	0.0010236 	16.891 
0.083333 	0.0018612 	17.566 
0.10000 	0.0028848 	17.566 
0.11667 	0.0040946 	17.566 
0.13333 	0.0053043 	18.242 
0.15000 	0.0066071 	18.242 
0.16667 	0.0080030 	18.918 
0.18333 	0.0094919 	18.918 
0.20000 	0.010981 	18.918 
0.21667 	0.012470 	18.918 
0.23333 	0.014052 	18.918 
0.25000 	0.015634 	19.593 
0.26667 	0.017216 	19.593 
0.28333 	0.018798 	18.918 
0.30000 	0.020473 	19.593 
0.31667 	0.022055 	19.593 
0.33333 	0.023637 	19.593 
0.35000 	0.025312 	20.269 
0.36667 	0.026987 	20.269 
0.38333 	0.028569 	20.269 
0.40000 	0.030244 	20.269 
0.41667 	0.031919 	20.945 
0.43333 	0.033594 	20.945 
0.45000 	0.035269 	20.945 
0.46667 	0.036851 	20.945 
0.48333 	0.038526 	20.945 
0.50000 	0.040294 	21.620 
0.51667 	0.041876 	21.620 
0.53333 	0.043551 	21.620 
0.55000 	0.045226 	21.620 
0.56667 	0.046901 	21.620 
0.58333 	0.048576 	21.620 
0.60000 	0.050251 	22.296 
0.61667 	0.051926 	22.296 
0.63333 	0.053508 	21.620 
0.65000 	0.055276 	22.296 
0.66667 	0.056858 	22.296 
0.68333 	0.058533 	22.296 
0.70000 	0.060209 	22.296 
0.71667 	0.061884 	22.296 
0.73333 	0.063559 	22.296 
0.75000 	0.065234 	22.296 
0.76667 	0.066909 	22.296 
0.78333 	0.068584 	21.620 
0.80000 	0.070259 	21.620 
0.81667 	0.071934 	22.296 
0.83333 	0.073516 	22.296 
0.85000 	0.075191 	22.296 
0.86667 	0.076866 	22.296 
0.88333 	0.078541 	22.296 
0.90000 	0.080216 	22.296 
0.91667 	0.081891 	22.296 
0.93333 	0.083566 	22.296 
0.95000 	0.085241 	22.296 
0.96667 	0.086916 	22.296 
0.98333 	0.088498 	22.296 
1.0000 	0.090173 	22.296 
1.0167 	0.091848 	22.296 
1.0333 	0.093523 	22.296 
1.0500 	0.095198 	22.296 
1.0667 	0.096873 	22.296 
1.0833 	0.098548 	22.296 
1.1000 	0.10022 	22.296 
1.1167 	0.10190 	22.296 
1.1333 	0.10357 	22.296 
1.1500 	0.10525 	22.296 
1.1667 	0.10692 	22.296 
1.1833 	0.10860 	22.296 
1.2000 	0.11018 	22.296 
1.2167 	0.11186 	22.296 
1.2333 	0.11353 	22.296 
1.2500 	0.11521 	22.296 
1.2667 	0.11688 	21.620 
1.2833 	0.11856 	22.296 
1.3000 	0.12023 	22.296 
1.3167 	0.12181 	22.296 
1.3333 	0.12358 	22.296 
1.3500 	0.12526 	22.296 
1.3667 	0.12684 	22.296 
1.3833 	0.12861 	22.296 
1.4000 	0.13019 	22.296 
1.4167 	0.13186 	22.296 
1.4333 	0.13354 	22.296 
1.4500 	0.13521 	22.296 
1.4667 	0.13689 	22.296 
1.4833 	0.13856 	22.296 
1.5000 	0.14033 	22.296 
1.5167 	0.14191 	22.296 
1.5333 	0.14359 	22.296 
1.5500 	0.14526 	22.296 
1.5667 	0.14694 	22.971 
1.5833 	0.14861 	22.296 
1.6000 	0.15020 	22.296 
1.6167 	0.15187 	22.971 
1.6333 	0.15355 	22.296 
1.6500 	0.15522 	22.296 
1.6667 	0.15690 	22.296 
1.6833 	0.15857 	22.296 
1.7000 	0.16025 	22.296 
1.7167 	0.16192 	22.296 
1.7333 	0.16350 	22.296 
1.7500 	0.16527 	22.296 
1.7667 	0.16685 	22.296 
1.7833 	0.16853 	22.296 
1.8000 	0.17020 	22.296 
1.8167 	0.17188 	22.296 
1.8333 	0.17355 	22.296 
1.8500 	0.17523 	22.296 
1.8667 	0.17690 	22.296 
1.8833 	0.17858 	22.296 
1.9000 	0.18025 	22.296 
1.9167 	0.18184 	22.296 
1.9333 	0.18351 	22.296 
1.9500 	0.18519 	22.296 
1.9667 	0.18686 	22.296 
1.9833 	0.18854 	22.296 
2.0000 	0.19021 	22.296 
2.0167 	0.19189 	22.296 
2.0333 	0.19356 	22.296 
2.0500 	0.19524 	22.296 
2.0667 	0.19691 	22.296 
2.0833 	0.19859 	22.296 
2.1000 	0.20026 	22.296 
2.1167 	0.20194 	22.296 
2.1333 	0.20352 	22.296 
2.1500 	0.20519 	22.296 
2.1667 	0.20687 	22.296 
2.1833 	0.20854 	22.296 
2.2000 	0.21022 	22.296 
2.2167 	0.21189 	22.296 
2.2333 	0.21348 	22.296 
2.2500 	0.21524 	22.296 
2.2667 	0.21692 	22.296 
2.2833 	0.21859 	22.296 
2.3167 	0.22185 	22.296 
2.3333 	0.22353 	22.296 
2.3500 	0.22520 	22.296 
2.3667 	0.22688 	22.296 
2.4000 	0.23023 	22.296 
2.4333 	0.23348 	22.296 
2.4667 	0.23693 	22.296 
2.5000 	0.24018 	22.296 
2.5333 	0.24353 	22.296 
2.5667 	0.24688 	22.296 
2.6000 	0.25023 	22.296 
2.6333 	0.25358 	22.296 
2.6667 	0.25684 	22.296 
2.7000 	0.26019 	22.971 
2.7333 	0.26354 	22.296 
2.7667 	0.26689 	22.971 
2.8000 	0.27024 	22.971 
2.8333 	0.27359 	22.296 
2.8667 	0.27685 	22.971 
2.9000 	0.28020 	22.971 
2.9333 	0.28355 	22.971 
2.9667 	0.28690 	22.971 
3.0000 	0.29025 	22.971 
3.0333 	0.29360 	22.971 
3.0667 	0.29686 	22.971 
3.1000 	0.30021 	22.296 
3.1333 	0.30356 	22.971 
3.1667 	0.30681 	22.971 
3.2000 	0.31026 	22.971 
3.2333 	0.31351 	22.971 
3.2667 	0.31686 	22.296 
3.3000 	0.32021 	22.971 
3.3333 	0.32356 	22.971 
3.3667 	0.32691 	22.296 
3.4000 	0.33026 	22.971 
3.4333 	0.33352 	22.971 
3.4667 	0.33687 	22.971 
3.5000 	0.34022 	22.296 
3.5333 	0.34357 	22.296 
3.5667 	0.34692 	22.971 
3.6000 	0.35027 	22.296 
3.6333 	0.35353 	22.971 
3.6667 	0.35688 	22.971 
3.7000 	0.36023 	22.296 
3.7333 	0.36358 	22.971 
3.7667 	0.36683 	22.971 
3.8000 	0.37018 	22.971 
3.8333 	0.37353 	22.296 
3.8667 	0.37688 	22.971 
3.9000 	0.38023 	22.296 
3.9333 	0.38349 	22.296 
3.9667 	0.38694 	22.971 
4.0000 	0.39019 	22.971 
4.0333 	0.39354 	22.971 
4.0667 	0.39689 	22.971 
4.1000 	0.40015 	22.971 
4.1333 	0.40359 	23.647 
4.1667 	0.40685 	22.971 
4.2000 	0.41020 	22.971 
4.2333 	0.41355 	22.971 
4.2667 	0.41690 	22.971 
4.3000 	0.42016 	22.971 
4.3333 	0.42360 	23.647 
4.3667 	0.42686 	23.647 
4.4000 	0.43021 	24.323 
4.4333 	0.43356 	24.323 
4.4667 	0.43691 	24.998 
4.5000 	0.44026 	24.998 
4.5500 	0.44519 	24.998 
4.6000 	0.45021 	26.350 
4.6500 	0.45524 	26.350 
4.7000 	0.46017 	27.025 
4.7500 	0.46520 	27.025 
4.8000 	0.47022 	27.701 
4.8500 	0.47525 	28.376 
4.9000 	0.48027 	28.376 
4.9500 	0.48520 	29.052 
5.0000 	0.49023 	29.052 
5.0500 	0.49525 	29.728 
5.1000 	0.50019 	30.403 
5.1500 	0.50521 	30.403 
5.2000 	0.51024 	31.079 
5.2500 	0.51526 	31.079 
5.3000 	0.52029 	31.755 
5.3500 	0.52522 	32.430 
5.4000 	0.53024 	32.430 
5.4500 	0.53518 	32.430 
5.5000 	0.54020 	33.106 
5.5500 	0.54523 	33.781 
5.6000 	0.55016 	33.781 
5.6500 	0.55518 	34.457 
5.7000 	0.56021 	34.457 
5.7500 	0.56523 	35.133 
5.8000 	0.57017 	35.133 
5.8500 	0.57519 	35.808 
5.9000 	0.58022 	35.808 
5.9500 	0.58524 	36.484 
6.0000 	0.59017 	36.484 
6.0500 	0.59520 	37.160 
6.1000 	0.60022 	37.160 
6.1500 	0.60525 	37.835 
6.2000 	0.61018 	38.511 
6.2500 	0.61521 	38.511 
6.3000 	0.62023 	39.187 
6.3500 	0.62526 	39.187 
6.4000 	0.63019 	39.862 
6.4500 	0.63521 	40.538 
6.5000 	0.64024 	41.213 
6.5500 	0.64526 	41.213 
6.6167 	0.65187 	41.213 
6.6667 	0.65690 	42.565 
6.7333 	0.66350 	42.565 
6.8000 	0.67020 	43.240 
6.8667 	0.67690 	44.592 
6.9333 	0.68351 	45.267 
7.0000 	0.69021 	45.943 
7.0667 	0.69691 	46.618 
7.1333 	0.70361 	47.294 
7.2000 	0.71022 	47.970 
7.2667 	0.71692 	48.645 
7.3333 	0.72353 	49.321 
7.4000 	0.73023 	49.997 
7.4667 	0.73683 	50.672 
7.5333 	0.74353 	51.348 
7.6000 	0.75023 	52.023 
7.6667 	0.75684 	53.375 
7.7333 	0.76354 	54.050 
7.8000 	0.77024 	54.726 
7.8667 	0.77685 	55.402 
7.9333 	0.78355 	56.077 
8.0000 	0.79025 	57.429 
8.0667 	0.79686 	58.104 
8.1333 	0.80356 	58.780 
8.2000 	0.81026 	59.455 
8.2667 	0.81686 	60.131 
8.3333 	0.82356 	61.482 
8.4000 	0.83017 	62.158 
8.4667 	0.83687 	62.834 
8.5333 	0.84357 	64.185 
8.6000 	0.85018 	64.860 
8.6667 	0.85688 	65.536 
8.7333 	0.86358 	66.212 
8.8167 	0.87186 	67.563 
8.9000 	0.88014 	68.239 
8.9667 	0.88694 	68.914 
9.0500 	0.89522 	70.266 
9.1333 	0.90359 	71.617 
9.2167 	0.91188 	72.968 
9.3000 	0.92025 	74.319 
9.3833 	0.92853 	74.995 
9.4667 	0.93691 	76.346 
9.5500 	0.94528 	77.697 
9.6333 	0.95357 	79.049 
9.7167 	0.96185 	80.400 
9.8000 	0.97022 	81.751 
9.8833 	0.97850 	82.427 
9.9667 	0.98688 	84.454 
10.050 	0.99516 	85.805 
10.133 	1.0035 	87.156 
10.217 	1.0119 	88.508 
10.300 	1.0202 	89.859 
10.383 	1.0286 	91.210 
10.467 	1.0369 	92.561 
10.550 	1.0452 	93.913 
10.633 	1.0535 	95.264 
10.717 	1.0619 	97.291 
10.800 	1.0703 	98.642 
10.883 	1.0785 	99.993 
10.967 	1.0869 	101.34 
11.067 	1.0969 	103.37 
11.167 	1.1068 	104.72 
11.267 	1.1169 	106.75 
11.367 	1.1269 	108.78 
11.467 	1.1369 	110.80 
11.567 	1.1468 	112.15 
11.667 	1.1569 	114.18 
11.767 	1.1669 	116.21 
11.867 	1.1769 	117.56 
11.967 	1.1869 	119.59 
12.067 	1.1969 	121.61 
12.167 	1.2069 	123.64 
12.267 	1.2169 	124.99 
12.367 	1.2269 	126.34 
12.450 	1.2353 	129.05 
12.550 	1.2452 	130.40 
12.650 	1.2553 	132.42 
12.750 	1.2652 	134.45 
12.850 	1.2753 	135.80 
12.950 	1.2852 	138.50 
13.050 	1.2952 	139.86 
13.150 	1.3052 	141.88 
13.267 	1.3169 	143.91 
13.383 	1.3286 	146.61 
13.500 	1.3401 	148.64 
13.617 	1.3519 	150.67 
13.733 	1.3636 	152.69 
13.850 	1.3752 	155.39 
13.967 	1.3868 	157.42 
14.067 	1.3969 	160.12 
14.183 	1.4085 	162.83 
14.300 	1.4203 	164.85 
14.417 	1.4319 	166.88 
14.533 	1.4436 	169.58 
14.650 	1.4552 	171.61 
14.767 	1.4669 	173.64 
14.883 	1.4785 	176.34 
15.000 	1.4902 	179.04 
15.117 	1.5019 	181.74 
15.233 	1.5136 	183.77 
15.333 	1.5235 	186.47 
15.467 	1.5369 	189.18 
15.583 	1.5486 	191.88 
15.717 	1.5619 	194.58 
15.817 	1.5718 	197.28 
15.933 	1.5836 	199.99 
16.050 	1.5952 	202.69 
16.183 	1.6085 	205.39 
16.300 	1.6202 	208.09 
16.417 	1.6319 	210.80 
16.533 	1.6436 	213.50 
16.650 	1.6552 	216.20 
16.767 	1.6669 	218.90 
16.867 	1.6769 	221.61 
16.983 	1.6885 	224.31 
17.100 	1.7003 	227.01 
17.200 	1.7102 	229.71 
17.333 	1.7235 	232.42 
17.433 	1.7336 	235.12 
17.550 	1.7452 	237.82 
17.683 	1.7585 	241.20 
17.800 	1.7701 	243.90 
17.917 	1.7819 	246.60 
18.033 	1.7935 	249.31 
18.150 	1.8052 	252.01 
18.267 	1.8170 	254.71 
18.367 	1.8269 	257.41 
18.467 	1.8369 	260.12 
18.583 	1.8485 	262.82 
18.700 	1.8602 	265.52 
18.783 	1.8685 	268.23 
18.900 	1.8802 	270.93 
19.000 	1.8902 	273.63 
19.117 	1.9019 	276.33 
19.200 	1.9102 	279.04 
19.300 	1.9203 	281.74 
19.417 	1.9319 	284.44 
19.517 	1.9418 	287.14 
19.633 	1.9536 	289.85 
19.733 	1.9636 	292.55 
19.817 	1.9719 	295.25 
19.933 	1.9835 	297.95 
20.033 	1.9936 	300.66 
20.133 	2.0035 	303.36 
20.233 	2.0136 	306.06 
20.333 	2.0235 	308.76 
